DRIVER,CUSTID,LOCATION,CLUB_NAME,STARTS,WINS,AVG_START_POS,AVG_FINISH_POS,AVG_POINTS,TOP25PCNT,LAPS,LAPSLEAD,AVG_INC,CLASS,IRATING,TTRATING,TOT_CLUBPOINTS,CHAMPPOINTS
"Matt Cooke","110041","CA","Canada",565,207,4,6,102,356,31018,13430,1.5,"A 4.99",6148,1625,4276,57637
"Josh Berry","17243","US","Mid-South",2067,796,7,6,159,1406,133863,40976,2.47,"P 3.36",6140,1581,18674,327845
"Philipp Geiss","56310","DE","DE-AT-CH",234,58,5,7,126,121,16304,3754,2.15,"A 4.55",6140,1486,1554,29395
"Jimmy Mullis","118122","US","Carolina",4136,932,7,7,97,2029,179798,40858,2.88,"P 3.75",6139,1242,26091,401086
"Robert M Lang","43022","US","Florida",393,80,9,7,119,191,23141,3662,3.04,"A 3.97",6139,1378,2940,46894
"Hannu Etupaltta","15217","FI","Finland",479,93,4,5,111,287,22575,4758,1.9,"A 4.99",6136,1441,4243,53108
"David Rattler","41761","US","Mid-South",902,116,7,8,113,345,60282,5222,2.79,"P 3.56",6130,1537,2167,102026
"Don Stephenson","91492","US","Florida",1874,267,6,7,116,944,101115,14265,2.24,"A 4.59",6130,1368,14640,217225
"Bob Bryant","15877","US","Mid-South",698,213,8,5,139,453,32571,8577,2.76,"A 2.09",6125,1486,7086,97342
"Braden Boulos","126971","US","Indiana",1314,165,7,8,99,548,70476,8238,2.83,"A 3.60",6104,1304,7350,129626
"Caine Cook","161571","US","Great Plains",455,84,6,7,112,212,20042,4209,2.27,"A 4.99",6104,1275,3504,51160
"Jordy Lopez Jr","125274","US","New Jersey",2240,551,7,7,149,1366,107681,19729,2.59,"A 3.03",6102,1350,18281,334115
"Patrick Baldwin","15670","US","New England",678,302,7,6,139,478,55191,21220,2.1,"A 4.99",6097,2197,6957,94157
"Dave Bodio","175136","US","New England",621,171,5,5,80,299,33868,10935,3.48,"A 3.22",6078,1230,2670,49863
"Kevin Ellis Jr","148529","GB","UK and I",693,255,5,6,102,429,32560,13525,1.59,"A 4.99",6071,1201,6445,70508
"Vedran Broz","81667","HR","Central-Eastern Europe",394,193,3,5,75,220,10949,4095,1.58,"A 4.99",6070,1656,2052,29524
"Jerold John","44584","US","New England",1874,485,4,5,91,911,125529,42105,2.54,"A 4.52",6066,1790,9475,169758
"Thomas Axsom","171664","US","New England",1781,386,6,6,77,834,69236,16398,2.97,"A 3.35",6062,1128,7874,136730
"Casey Malone","52927","US","Texas",282,46,8,7,104,140,19409,2461,2,"A 3.50",6061,1421,1782,29388
"Peter Read","18070","AU","Australia/NZ",252,140,2,3,120,180,10046,6049,2.44,"A 4.50",6052,1837,1268,30331
"Greg McKinney","67529","US","Carolina",1016,151,6,8,120,432,63730,8772,2.83,"A 4.99",6049,1392,5977,121483
"Nicholas Doucette","82704","CA","Canada",620,128,5,6,124,364,36812,7560,1.78,"A 4.99",6049,1260,6872,77056
"Mark Arthur","91227","US","Virginias",981,185,5,7,92,448,36664,8806,3.09,"B 3.44",6048,1411,2086,90520
"Brenden Baker","49942","US","Texas",666,130,7,7,67,265,23717,4897,3.67,"C 1.51",6044,1242,1851,44375
"Aaron Lee Jr.","263941","US","Ohio",305,174,2,2,105,252,11980,7031,.92,"A 4.99",6039,1155,2104,31962
