DRIVER,CUSTID,LOCATION,CLUB_NAME,STARTS,WINS,AVG_START_POS,AVG_FINISH_POS,AVG_POINTS,TOP25PCNT,LAPS,LAPSLEAD,AVG_INC,CLASS,IRATING,TTRATING,TOT_CLUBPOINTS,CHAMPPOINTS
"Linus Areng","209962","SE","Scandinavia",320,6,11,11,65,71,5505,136,4.51,"A 2.78",2744,1393,1680,20923
"Arnaud Wafflard","55629","FR","France",35,13,5,4,85,17,608,169,2.62,"B 4.99",2744,1305,56,2960
"Barry Anders","29889","US","Texas",97,15,6,5,70,26,1287,194,4.66,"B 2.62",2744,1324,93,6827
"Lars Simonsen","166670","NO","Scandinavia",234,16,10,10,56,54,4164,134,6.97,"B 3.54",2744,1296,917,13089
"Alexander Anisovich","86664","BY","Central-Eastern Europe",254,20,7,6,59,45,5222,256,7.41,"A 2.30",2744,1462,381,14908
"Thierry Rensen","191910","NL","Benelux",461,36,7,8,74,139,6461,559,5.55,"A 4.99",2744,1663,1737,34305
"Vasily Anufriev","77615","RU","Central-Eastern Europe",319,130,3,5,89,169,4666,2509,4.92,"D 2.68",2743,1549,1185,28471
"Fabio Loyola","16006","BR","Brazil",192,15,7,7,80,44,4055,226,2.55,"A 4.99",2742,1666,699,15427
"Charlie Foster","55867","US","New England",197,21,7,6,71,64,3238,218,5.35,"C 3.33",2742,1402,367,14041
"Thomas Lewandowski","15583","US","New York",124,28,5,7,73,46,2986,960,4.64,"A 2.70",2742,1432,583,8997
"Timon Liebau","147382","AT","DE-AT-CH",109,9,5,6,77,47,1488,130,4.6,"B 2.34",2741,1267,221,8437
"Paul Jennings","88135","US","Carolina",507,55,10,8,56,139,25549,3764,3.7,"A 4.99",2741,1732,2173,28334
"Teppo Remes","64248","FI","Finland",137,5,11,9,71,30,3166,79,3.65,"A 4.99",2741,1473,693,9696
"Thomas Ellison","91813","US","New York",846,98,7,7,54,228,9983,1190,4.59,"A 2.01",2741,1349,2679,45388
"Jonas Blixt","115897","SE","Scandinavia",128,6,6,8,60,32,1978,111,4,"B 3.32",2741,1837,388,7709
"Allen Piercy","120639","GB","UK and I",1022,141,5,7,74,411,15630,2230,4.95,"C 2.62",2740,1900,5621,75542
"Pedro Jose Rodriguez","85937","ES","Iberia",311,42,7,7,68,44,5875,84,2.83,"A 4.88",2740,1782,806,21023
"Juergen Klaiber","57055","DE","DE-AT-CH",255,37,5,5,70,68,4265,583,4.65,"B 3.97",2740,1804,477,17741
"Juanmi Costa","56042","ES","Iberia",606,55,9,10,49,119,10311,968,6.22,"A 2.77",2740,1535,2498,29979
"Robin Deville","96482","BE","Benelux",97,6,5,5,66,27,1960,208,6.26,"C 3.45",2739,1323,26,6364
"Daniel Modolon","251459","BR","Brazil",202,5,8,9,60,39,3668,119,5.94,"A 2.52",2738,1350,888,12210
